63886,37230,22443
14930,17960,81024
43918,38405,87674
29714,74914,92754
96405,46106,49951
15706,18131,35024
51021,13787,90398
33568,34315,39038
62697,4315,1409
17269,12530,60392
46245,71688,74746
31466,60062,13609
56305,7552,3082
40484,3635,37479
97779,77643,66368
76548,77654,74475
55002,65537,46624
58627,24747,24851
97035,16819,69875
83393,73336,1377
76412,53894,98831
14524,33239,63266
44967,44222,27292
48402,76812,75938
65357,11108,60957
83686,48368,69005
48944,74264,32482
46875,22503,73282
10611,81492,97803
66871,37465,95364
72206,54401,57231
65489,65850,94817
15386,33178,64880
899,92096,82968
36190,24747,64430
51581,23817,95875
26160,2705,93232
96185,88112,37267
95912,49035,77330
70648,37034,41305
11318,43485,43748
6079,63493,88167
20135,51301,59701
22488,3063,97825
63222,10175,86369
73836,59680,16942
90011,25997,44223
3428,17348,39335
24516,62730,64170
85117,75659,11594
34259,30453,40946
38458,40481,75488
47264,58168,60115
28650,60350,8043
96137,70921,15476
80926,20750,94569
28632,41908,36883
66730,84848,32307
51595,64784,59769
69590,71274,48394
11595,98983,81711
76493,69454,11982
91164,89408,85356
90846,86538,63867
37253,64967,71997
8009,5148,24705
36469,5007,58412
57866,87455,86769
15937,81264,19643
36846,79743,89887
79599,86538,13411
45273,84230,96842
87927,55696,37820
66702,56224,48181
28019,94925,33147
7261,17785,57509
47393,20292,61221
66929,26115,63262
74996,16962,59491
25091,82242,11602
42391,69675,96669
44743,81888,92261
35500,67313,4267
35517,90341,18706
62562,87919,65424
41684,87601,16298
27961,65656,1826
60647,41411,67630
18617,94379,50165
77455,30819,80161
4773,22697,83985
10213,7010,35932
73757,41787,80610
15037,76482,31359
48675,15642,49611
44374,5080,9056
37988,7210,82441
92218,16297,61914
41632,36470,41841
46511,80729,95868
98433,19798,98607
14397,77316,72041
59073,14497,68338
55556,14949,71149
60438,52250,42584
69038,69154,90846
50805,62461,97394
83160,4813,54743
78897,66576,5468
46195,69485,95518
93871,66473,14663
96267,86324,71918
91835,91956,57250
3547,67383,74121
69426,33253,22049
76841,38982,80178
39232,33699,24782
25528,59504,27512
50635,51308,28149
90749,27633,49031
81188,69783,11066
391,66955,19425
40726,99014,5757
62872,8956,25669
78127,4990,32018
87626,63933,69302
66859,4545,49550
88067,87245,50068
80421,83883,75811
11802,71405,65614
87430,97530,40167
22550,25532,16807
99893,41994,47701
92835,20112,26569
76789,87216,29537
29879,55648,41218
16515,20603,9769
82303,62590,85209
5004,8318,87448
74098,35043,27707
61451,22994,93546
192,60287,54658
72272,25205,57911
1485,42912,66047
24755,29338,85780
66095,71761,81110
2387,13392,43582
65200,15909,84782
60435,61501,18791
57440,64823,4019
60359,10402,81311
75063,90165,61844
12604,37665,40686
48604,98710,68764
72300,66222,66320
90515,35704,53083
8795,37149,73988
37449,12297,23101
75770,26980,87280
79067,59440,26300
66403,7278,69727
27988,87257,38210
74418,58798,21348
87359,79755,37827
27382,53253,26437
42493,68140,33906
68483,96654,14334
87273,78749,21906
77659,17320,17367
96077,37663,28055
62893,74494,5302
76899,55737,70616
60020,51028,75159
98756,99360,37667
45822,26772,1233
14773,98684,9468
52105,32095,40663
1322,80838,15395
84699,21543,31426
16735,69044,45983
40385,60549,34030
73658,70487,34803
4372,94343,14201
36457,43067,15502
72995,64943,42927
78707,55312,32027
17203,58419,12488
13659,50967,29494
51803,53016,9119
68221,65472,54322
39866,7871,88144
6126,9335,61033
20322,89210,93844
93496,15894,58053
2076,48335,46457
12663,5742,73577
98642,77731,765
65731,91710,83254
72924,56855,87220
51327,94378,11459
99625,70790,67579
66754,62867,19048
68382,15295,3064
29933,23525,51556
58504,20417,12135
56295,55604,66491
75068,86326,31158
50377,88419,48620
8075,4613,42586
31249,12258,22443
20124,18774,23934
33599,84156,54064
6745,7102,44156
4659,54319,11556
22936,20549,46775
63744,93299,17130
61200,29757,15921
6241,31332,12633
92968,18108,85434
96407,51312,85086
99131,99783,1765
85801,5399,81375
48914,6247,88967
92075,82199,57240
21447,74506,90834
78968,39009,2529
61141,61046,31623
49303,28190,47297
64530,86400,28280
79277,34835,91032
93637,51268,32186
67595,25314,6163
9154,43714,99216
39372,18175,51871
98581,3685,64913
54022,14363,18200
97505,58401,23494
89211,65017,41742
99874,99537,62044
54495,60422,28781
38090,6250,20216
32617,6174,9609
68542,51112,84103
86369,68746,89770
50594,94268,86706
42064,86608,27001
18287,7463,97188
37112,88528,27034
913,70087,52901
71455,20844,18978
32635,99621,83322
79747,45846,74833
7745,26841,58460
8940,63012,31842
23367,70666,43892
12322,22942,75039
35106,46747,94307
87274,42446,99647
34147,62200,71284
20788,31517,73394
74022,66122,14121
3192,2457,16574
62571,92965,30130
74534,15140,34148
27041,5355,64548
94845,6723,71394
21076,69286,37885
15605,60447,41425
42168,77497,88717
17482,41076,31149
83265,91966,81953
88025,22670,18589
60661,99468,7857
1387,71034,68244
31852,56390,84748
56213,50384,13324
93987,77846,85606
87185,10496,45484
524,97467,92993
82055,73124,8307
88164,17138,82531
5486,94147,10856
71109,79190,47743
12087,37851,97298
63730,9056,41535
99171,15535,4566
84177,20043,97786
79349,13852,40785
92686,56280,33693
5726,20749,58159
54156,35096,72791
51588,46672,90415
31808,79746,87581
6488,21504,25106
55718,47747,91359
77950,19599,58322
27542,63550,20612
72574,84085,46850
96900,18022,61479
62172,64075,46815
30104,31778,59219
60366,46434,42793
94725,68833,41093
50327,59654,41202
53039,95229,45054
30148,34425,49311
73047,90232,80011
86828,39494,78839
25074,88168,69377
31209,71199,95831
60457,17685,12421
1837,2372,20598
50141,63485,98692
46909,67085,36891
52252,21651,23994
27082,58375,76338
1506,73562,65935
59850,20089,91516
37078,99849,77237
43246,58041,37797
70460,20499,16074
46168,61810,26178
71702,22870,52316
80210,77401,94402
98458,67213,49423
59386,25776,47988
10692,70134,93152
78961,31148,98453
84086,6501,84969
18458,55121,11025
79218,83386,46098
79970,38465,84052
49389,51671,28019
76260,75950,33095
82947,15172,32846
94002,69926,62101
10716,45650,28154
48409,49006,42519
18518,21179,13193
96149,6604,24130
50813,57969,35052
17020,44060,36465
19415,28665,5743
38456,64876,8006
65315,15993,29714
58701,12921,12993
6656,53795,45183
18712,1779,55689
28107,80068,29256
54319,33642,9413
21305,63722,49109
58235,58591,28734
17250,46383,34969
22974,61588,28330
79931,14442,42109
7038,15968,22643
83170,37679,39885
42210,14656,90212
96252,2258,72411
5475,86725,22390
51337,4310,5921
8291,88399,15473
57698,59371,50320
23959,25522,84204
96645,7277,7622
96688,1048,99575
88036,96375,17379
80693,74344,83533
30744,33933,63817
75781,3512,8977
93535,44955,10914
97811,24039,85898
17253,16268,7791
32670,11422,42798
5994,10969,46704
12135,63176,31123
94914,83490,97060
95576,66808,91821
50124,94358,90160
63633,13228,56450
2560,4680,24964
93225,69275,91114
72779,30452,96693
